country_name,year,gdp
Germany,2018,"3,951.340"
United Kingdom,2018,"2,828.833"
France,2018,"2,780.152"
Italy,2018,"2,075.856"
Russia,2018,"1,657.290"
Spain,2018,"1,427.533"
Netherlands,2018,914.519
Turkey,2018,779.694
Switzerland,2018,705.546
Poland,2018,585.816
Belgium,2018,532.268
Sweden,2018,556.073
Ireland,2018,382.754
Austria,2018,456.166
Norway,2018,434.167
Denmark,2018,352.058
Romania,2018,239.552
Czech Republic,2018,245.226
Finland,2018,274.210
Portugal,2018,240.901
Kazakhstan,2018,179.340
Greece,2018,218.230
Hungary,2018,161.182
Ukraine,2018,130.857
Slovakia,2018,106.573
Bulgaria,2018,65.197
Luxembourg,2018,69.553
Croatia,2018,60.805
Serbia,2018,50.509
Lithuania,2018,53.302
Slovenia,2018,54.059
Azerbaijan,2018,46.940
Belarus,2018,59.643
Latvia,2018,34.882
Estonia,2018,30.761
Cyprus,2018,24.493
Iceland,2018,25.965
Georgia,2018,16.209
Bosnia and Herzegovina,2018,20.162
Albania,2018,15.059
Armenia,2018,12.433
Malta,2018,14.560
Moldova,2018,11.309
North Macedonia,2018,12.670
Kosovo,2018,7.947
Montenegro,2018,5.457
Andorra,2018,3.238
San Marino,2018,1.638
Liechtenstein,2018,6.839
